driver_id,car_model,car_manufacture_year,days_since_inspection,age,experience,second_language,rating,net_worth_of_tips,number_of_rejected_rides,number_of_upvotes,number_of_complaints,number_of_incidents,driver_class
940,Honda Accord,2005,320,59.0,8,no,5.0,1323.82,1,33,1,0,A class
1276,Chevrolet Malibu,2018,273,39.0,16,no,4.78,1040.37,2,43,1,0,A class
193,Nissan Altima,2021,220,24.0,1,Arabic,5.0,985.2,0,44,0,0,A class
1003,Chevrolet Malibu,2007,899,67.0,10,Arabic,4.65,607.9,4,35,2,1,A class
2943,Toyota Camry,2010,184,32.0,1,no,4.2,734.86,3,33,1,0,B class
2691,Chevrolet Malibu,2009,378,21.0,1,no,4.19,851.96,3,42,2,2,A class
73,Nissan Altima,2008,225,22.0,2,no,3.83,379.23,4,12,1,1,B class
2664,Hyundai Sonata,2013,774,56.0,22,Portuguese,3.97,597.48,2,22,3,0,B class
90,Ford Fusion,2008,508,48.0,16,French,4.07,399.43,4,25,1,1,B class
922,Honda Accord,2017,701,55.0,9,no,4.4,720.75,2,35,1,1,A class
18,Toyota Camry,2009,489,59.0,23,Russian,4.11,613.64,3,26,3,0,B class
702,Hyundai Sonata,2008,244,50.0,5,Spanish,4.19,386.1,4,37,0,3,B class
2444,Ford Fusion,2019,431,50.0,12,no,3.93,565.06,4,12,0,0,B class
2647,Ford Fusion,2016,865,40.0,11,Spanish,4.23,339.55,1,27,3,1,B class
116,Chevrolet Malibu,2012,232,23.0,3,no,4.88,1106.11,2,31,1,0,A class
2929,Chevrolet Malibu,2010,509,63.0,1,Mandarin,4.51,1119.24,1,43,0,0,A class
2930,Ford Fusion,2011,324,25.0,5,no,4.19,663.56,0,31,1,0,B class
2540,Toyota Camry,2014,897,60.0,13,no,4.14,778.48,4,13,0,0,B class
1147,Nissan Altima,2022,681,63.0,3,no,4.63,838.25,1,39,1,1,A class
263,Ford Fusion,2012,391,57.0,8,no,3.87,339.24,5,18,4,3,B class
2034,Hyundai Sonata,2010,475,45.0,24,Spanish,4.27,736.69,4,29,0,2,B class
1486,Ford Fusion,2008,65,,8,no,4.94,792.06,3,34,2,0,A class
2978,Toyota Camry,2017,776,46.0,13,Spanish,4.36,671.55,1,16,0,0,A class
1768,Hyundai Sonata,2018,823,63.0,16,no,4.75,1110.05,3,44,0,0,A class
299,Ford Fusion,2011,488,33.0,4,Spanish,4.25,342.84,3,26,1,2,B class
2437,Chevrolet Malibu,2014,650,39.0,16,Mandarin,4.24,804.41,6,28,4,2,A class
2159,Ford Fusion,2015,670,43.0,9,no,4.24,649.1,0,18,0,0,A class
2968,Honda Accord,2013,899,30.0,10,no,4.25,439.83,3,24,0,0,B class
2999,Chevrolet Malibu,2012,28,46.0,15,no,4.61,818.97,1,28,1,0,A class
513,Chevrolet Malibu,2015,639,65.0,16,Spanish,4.76,884.7,2,50,2,0,A class
38,Kia Optima,2020,537,26.0,6,no,4.9,912.48,0,38,0,1,A class
2395,Toyota Camry,2006,170,25.0,5,no,4.74,849.0,0,41,1,0,A class
2169,Toyota Camry,2008,34,65.0,7,Arabic,4.53,572.58,0,22,1,1,B class
1654,Ford Fusion,2020,417,46.0,17,no,3.81,395.97,6,14,4,2,B class
399,Kia Optima,2011,460,,14,Portuguese,4.53,787.44,1,35,1,0,A class
1421,Toyota Camry,2006,390,65.0,13,no,3.98,408.39,2,17,0,1,B class
1091,Ford Fusion,2015,725,66.0,2,no,4.57,930.49,2,18,2,0,A class
1171,Kia Optima,2008,412,33.0,13,no,4.78,824.96,0,39,0,0,A class
1413,Honda Accord,2007,85,30.0,2,Spanish,4.15,582.75,2,29,4,0,B class
1277,Nissan Altima,2015,710,66.0,18,no,4.62,1132.36,1,59,1,0,A class
1168,Nissan Altima,2018,252,63.0,14,Spanish,4.66,975.31,1,20,1,0,A class
1204,Chevrolet Malibu,2007,79,58.0,15,no,4.87,1029.68,0,39,0,0,A class
396,Hyundai Sonata,2022,881,39.0,2,no,3.94,516.81,4,21,1,1,B class
95,Toyota Camry,2021,230,56.0,15,French,4.4,749.63,2,26,0,0,A class
1166,Nissan Altima,2012,522,50.0,24,no,4.78,531.12,2,45,1,2,B class
677,Honda Accord,2019,6,64.0,12,no,4.7,666.45,2,20,1,1,A class
2021,Honda Accord,2014,291,35.0,5,no,4.96,765.34,0,41,1,1,A class
2634,Hyundai Sonata,2018,872,63.0,15,no,4.54,641.3,3,55,2,0,B class
896,Honda Accord,2018,399,27.0,0,French,3.57,226.96,3,11,3,1,B class
1448,Kia Optima,2021,617,48.0,11,no,3.56,290.56,6,19,3,1,B class
1069,Chevrolet Malibu,2015,386,29.0,9,no,4.3,718.01,12,36,1,1,A class
2630,Hyundai Sonata,2013,238,,5,Spanish,4.2,808.61,2,41,0,0,A class
998,Hyundai Sonata,2012,678,37.0,17,French,4.52,622.42,5,29,3,1,B class
2338,Ford Fusion,2018,36,43.0,18,no,5.0,1313.59,4,45,0,0,A class
197,Hyundai Sonata,2011,682,34.0,2,no,4.62,755.86,1,11,0,0,A class
408,Hyundai Sonata,2016,442,49.0,10,no,4.21,608.33,3,16,2,1,B class
662,Toyota Camry,2011,749,66.0,14,no,4.21,814.11,2,29,1,1,A class
579,Hyundai Sonata,2016,717,,3,no,3.49,81.45,0,10,2,4,B class
972,Toyota Camry,2016,712,44.0,1,Mandarin,4.67,652.15,1,38,1,0,A class
944,Nissan Altima,2022,765,61.0,4,Arabic,4.42,812.53,3,41,2,0,A class
2289,Toyota Camry,2020,131,48.0,21,no,4.56,983.17,0,37,1,0,A class
318,Ford Fusion,2016,268,36.0,8,no,4.58,770.22,3,19,1,1,B class
2336,Kia Optima,2019,158,48.0,8,no,4.26,757.49,3,34,2,0,A class
2904,Hyundai Sonata,2012,253,47.0,14,no,3.63,328.59,8,15,2,1,B class
2527,Ford Fusion,2007,279,62.0,6,no,4.42,456.0,2,24,3,0,B class
2531,Nissan Altima,2022,223,66.0,5,no,4.77,772.7,0,35,1,0,A class
1798,Toyota Camry,2018,135,58.0,5,no,4.62,916.83,1,32,0,1,A class
1282,Chevrolet Malibu,2009,813,37.0,17,no,4.27,584.3,5,26,3,1,B class
1037,Kia Optima,2019,795,46.0,17,no,4.96,938.13,3,30,1,1,A class
545,Ford Fusion,2010,395,66.0,7,no,3.76,229.88,6,17,2,0,B class
1396,Hyundai Sonata,2022,536,65.0,15,Spanish,3.71,247.69,0,16,4,0,B class
2685,Chevrolet Malibu,2015,174,63.0,0,no,4.2,324.94,4,22,0,1,B class
2564,Ford Fusion,2020,245,,5,no,4.37,728.57,3,20,1,2,B class
547,Honda Accord,2011,631,27.0,7,Mandarin,4.49,426.98,1,30,3,0,B class
2778,Toyota Camry,2016,489,42.0,17,no,4.54,1006.96,2,24,0,1,A class
1097,Kia Optima,2006,648,,18,Spanish,4.55,739.42,1,16,0,0,A class
1193,Nissan Altima,2011,12,23.0,3,no,4.65,1035.41,2,41,0,1,A class
2317,Nissan Altima,2020,463,42.0,8,no,4.33,501.72,5,30,0,1,B class
2209,Nissan Altima,2021,251,67.0,4,French,4.53,614.52,1,23,0,1,B class
2674,Nissan Altima,2011,211,33.0,13,Portuguese,4.33,840.04,4,29,4,2,B class
636,Nissan Altima,2021,127,49.0,4,French,4.85,728.09,2,57,2,0,A class
890,Honda Accord,2011,615,35.0,15,French,4.26,843.5,2,25,0,1,A class
591,Ford Fusion,2012,537,50.0,2,no,3.79,230.96,2,15,0,1,B class
963,Ford Fusion,2014,422,37.0,10,French,4.09,358.62,7,9,0,1,B class
2225,Honda Accord,2009,248,62.0,18,Spanish,4.57,692.81,1,37,2,1,A class
2143,Chevrolet Malibu,2010,555,48.0,8,no,4.59,865.08,4,36,0,0,A class
109,Kia Optima,2015,842,39.0,18,no,4.83,872.13,2,26,0,1,A class
1403,Toyota Camry,2008,620,40.0,17,Spanish,5.0,1213.8,0,75,0,0,A class
893,Nissan Altima,2022,465,41.0,8,no,4.76,943.4,0,62,1,1,A class
1451,Chevrolet Malibu,2017,298,59.0,21,Portuguese,5.0,944.2,3,52,0,0,A class
2339,Hyundai Sonata,2012,645,22.0,2,no,4.83,833.29,1,55,1,0,A class
2554,Nissan Altima,2014,276,33.0,0,Russian,3.9,659.44,5,27,4,0,B class
2591,Nissan Altima,2007,618,53.0,23,no,4.21,755.57,3,22,1,3,B class
1158,Ford Fusion,2019,501,22.0,2,no,4.7,770.02,4,31,0,0,A class
713,Nissan Altima,2018,82,21.0,1,no,3.97,489.07,4,19,1,1,B class
288,Hyundai Sonata,2011,770,50.0,20,Russian,4.52,956.52,5,50,4,0,A class
1011,Nissan Altima,2013,401,37.0,17,no,4.27,385.43,0,18,0,0,B class
1006,Nissan Altima,2010,741,36.0,6,Arabic,3.92,240.66,10,13,1,1,B class
1618,Chevrolet Malibu,2018,850,26.0,6,Portuguese,4.23,445.01,4,18,0,0,B class
1684,Nissan Altima,2019,5,57.0,19,Spanish,3.97,138.64,2,21,4,0,B class
1579,Kia Optima,2016,302,,3,no,4.3,491.29,1,22,0,0,B class
1219,Kia Optima,2012,176,,14,no,3.97,596.87,5,27,1,0,B class
1587,Honda Accord,2013,384,37.0,17,no,5.0,834.89,0,40,0,1,A class
2815,Toyota Camry,2020,99,25.0,2,no,4.32,579.17,2,26,3,1,A class
2855,Ford Fusion,2015,62,63.0,21,Spanish,4.51,566.4,4,35,2,1,B class
796,Kia Optima,2008,719,58.0,13,Russian,3.94,678.34,1,18,1,0,B class
201,Honda Accord,2019,729,25.0,5,Arabic,3.81,351.63,3,4,1,1,B class
2512,Ford Fusion,2010,661,28.0,8,no,4.73,1113.69,1,45,0,1,A class
1459,Ford Fusion,2011,708,50.0,19,no,4.39,593.36,6,32,4,1,B class
2706,Chevrolet Malibu,2005,476,44.0,5,no,4.83,714.49,3,42,1,0,A class
1325,Hyundai Sonata,2018,876,55.0,5,Arabic,4.22,431.19,6,15,2,0,B class
1076,Toyota Camry,2022,42,45.0,18,no,4.69,646.52,2,35,1,0,A class
526,Honda Accord,2015,60,54.0,17,no,4.35,547.04,2,18,0,0,B class
2042,Chevrolet Malibu,2012,768,44.0,21,no,4.87,1280.25,2,52,1,0,A class
2870,Kia Optima,2020,811,55.0,18,Portuguese,4.79,915.16,1,48,1,0,A class
2119,Ford Fusion,2009,94,,11,Mandarin,4.1,583.5,5,17,1,1,B class
507,Ford Fusion,2019,686,51.0,10,no,4.23,690.02,4,21,2,1,B class
480,Honda Accord,2011,665,36.0,8,no,3.95,655.94,3,19,1,4,B class
688,Chevrolet Malibu,2005,226,49.0,18,no,4.78,914.92,1,42,0,1,A class
1189,Toyota Camry,2021,622,43.0,0,no,4.54,758.33,3,36,2,1,B class
2690,Chevrolet Malibu,2020,864,48.0,6,no,4.9,850.19,3,22,1,1,A class
397,Honda Accord,2020,335,25.0,5,no,3.91,375.25,3,33,0,0,B class
2186,Kia Optima,2009,352,62.0,1,no,4.23,488.9,5,25,1,1,B class
1366,Kia Optima,2009,817,57.0,10,no,4.43,715.61,1,29,0,2,A class
1862,Ford Fusion,2015,130,59.0,21,Spanish,5.0,1049.91,0,46,0,1,A class
837,Ford Fusion,2016,183,61.0,8,Mandarin,4.51,903.7,3,25,0,0,A class
2264,Toyota Camry,2016,194,47.0,22,no,3.83,362.79,4,25,4,0,B class
1264,Ford Fusion,2020,646,61.0,21,no,4.52,949.47,3,32,0,0,A class
603,Hyundai Sonata,2017,684,30.0,10,Arabic,4.49,841.85,2,40,1,1,B class
241,Honda Accord,2009,582,33.0,13,Russian,4.09,418.94,6,21,1,1,B class
1940,Honda Accord,2008,128,,11,French,3.88,282.23,4,12,2,1,B class
449,Ford Fusion,2017,207,,17,French,4.23,393.17,3,16,1,1,B class
843,Ford Fusion,2010,157,65.0,24,Spanish,4.14,443.08,3,8,0,1,B class
2442,Honda Accord,2021,457,29.0,9,no,4.49,511.67,6,27,2,1,B class
14,Kia Optima,2020,6,23.0,3,no,3.98,464.55,7,16,1,0,B class
2939,Ford Fusion,2018,619,31.0,0,Spanish,4.13,204.55,6,18,3,1,B class
985,Chevrolet Malibu,2015,830,,5,no,5.0,1368.14,2,63,0,1,A class
2004,Nissan Altima,2014,725,44.0,18,Spanish,4.41,575.51,3,22,0,1,B class
2562,Ford Fusion,2011,426,,5,no,5.0,562.41,1,37,0,0,A class
1788,Toyota Camry,2013,232,21.0,0,no,4.27,617.48,2,20,0,0,B class
377,Hyundai Sonata,2017,633,26.0,6,no,3.91,477.43,2,30,0,0,B class
2660,Nissan Altima,2010,228,21.0,1,French,4.42,515.73,5,25,1,1,B class
264,Hyundai Sonata,2006,625,50.0,22,Spanish,4.3,430.38,0,23,3,0,B class
616,Honda Accord,2008,197,63.0,10,no,4.24,708.54,0,26,0,0,A class
504,Chevrolet Malibu,2012,559,63.0,10,no,4.34,423.17,6,16,0,0,B class
58,Hyundai Sonata,2017,294,50.0,15,Spanish,4.43,582.46,2,36,0,0,A class
2695,Honda Accord,2008,689,27.0,7,no,4.49,721.05,1,28,2,0,B class
1197,Toyota Camry,2012,398,57.0,3,Arabic,4.39,761.44,4,35,3,0,B class
2471,Toyota Camry,2019,347,47.0,1,no,4.69,749.47,3,21,1,0,A class
2654,Nissan Altima,2017,185,54.0,10,Mandarin,4.22,939.63,4,29,7,0,A class
233,Toyota Camry,2017,183,35.0,3,no,4.81,1063.64,0,27,1,1,A class
2670,Honda Accord,2016,17,50.0,3,no,4.67,796.07,3,24,0,0,A class
1676,Hyundai Sonata,2006,529,42.0,22,French,5.0,1290.17,2,66,0,0,A class
1872,Chevrolet Malibu,2010,805,36.0,15,no,4.14,420.98,5,16,2,0,B class
1136,Chevrolet Malibu,2017,897,61.0,19,Portuguese,4.79,858.61,3,42,0,1,A class
1583,Kia Optima,2016,870,22.0,2,Spanish,4.82,1099.23,2,48,1,0,A class
1902,Kia Optima,2018,450,21.0,1,French,4.22,491.13,4,17,2,0,B class
2572,Toyota Camry,2016,391,50.0,16,Mandarin,3.91,421.19,6,19,2,0,B class
2758,Toyota Camry,2009,467,56.0,15,no,4.79,729.4,3,41,1,0,A class
174,Hyundai Sonata,2007,176,48.0,3,no,4.33,711.15,4,19,1,0,B class
142,Honda Accord,2006,763,24.0,4,Arabic,4.2,714.46,7,20,3,1,B class
205,Hyundai Sonata,2020,264,51.0,9,Portuguese,5.0,1426.9,0,84,0,0,A class
1992,Ford Fusion,2020,157,67.0,10,no,4.86,775.14,0,35,1,0,A class
1235,Nissan Altima,2007,657,,6,no,4.41,710.95,3,32,4,2,A class
2326,Nissan Altima,2018,588,34.0,14,Portuguese,4.41,822.71,1,31,1,0,A class
1783,Honda Accord,2021,49,46.0,8,no,4.42,787.99,1,18,0,0,B class
1490,Hyundai Sonata,2022,538,64.0,8,Spanish,4.55,779.97,2,33,0,0,A class
1611,Ford Fusion,2011,38,,3,Arabic,4.49,833.5,2,24,0,2,A class
682,Hyundai Sonata,2010,316,45.0,20,French,4.13,445.91,4,15,2,0,B class
858,Toyota Camry,2010,598,45.0,1,no,4.12,473.61,1,15,1,1,B class
2166,Chevrolet Malibu,2011,671,38.0,18,no,4.26,371.19,2,19,2,1,B class
1437,Hyundai Sonata,2017,233,56.0,17,Spanish,4.63,668.62,4,36,2,0,A class
1839,Toyota Camry,2013,633,41.0,14,no,4.43,721.07,7,13,2,1,B class
2204,Hyundai Sonata,2011,270,53.0,21,French,4.74,938.49,4,40,2,0,A class
2076,Hyundai Sonata,2008,211,23.0,3,no,4.27,700.04,2,40,2,0,A class
790,Kia Optima,2005,460,65.0,3,no,4.3,482.85,1,8,0,0,B class
2569,Hyundai Sonata,2010,460,39.0,14,no,4.08,587.97,3,17,1,0,B class
1415,Chevrolet Malibu,2018,708,27.0,7,no,4.82,828.25,4,28,1,0,A class
1385,Kia Optima,2017,613,66.0,1,no,4.99,984.96,1,50,0,1,A class
2649,Toyota Camry,2007,710,27.0,2,no,4.27,660.09,4,24,2,0,B class
1184,Toyota Camry,2020,761,39.0,11,Mandarin,4.16,686.41,3,28,1,1,B class
2022,Nissan Altima,2006,116,48.0,3,no,4.43,622.92,5,37,1,0,B class
2286,Chevrolet Malibu,2011,88,,1,French,3.97,534.24,5,16,0,0,B class
936,Ford Fusion,2006,71,67.0,24,no,4.82,988.1,1,33,1,1,A class
512,Nissan Altima,2015,890,54.0,19,no,4.94,766.92,3,28,1,0,A class
1262,Nissan Altima,2014,35,29.0,7,Russian,4.06,330.41,5,20,1,0,B class
1585,Hyundai Sonata,2015,763,41.0,4,no,3.58,280.58,4,14,1,1,B class
101,Nissan Altima,2017,564,49.0,0,Spanish,4.49,695.7,2,26,2,1,B class
13,Nissan Altima,2007,847,57.0,24,no,4.65,828.4,1,57,0,0,A class
645,Kia Optima,2011,284,26.0,6,Arabic,5.0,1075.82,1,47,0,0,A class
1550,Chevrolet Malibu,2015,896,51.0,15,Mandarin,3.95,460.51,4,29,2,3,B class
779,Toyota Camry,2008,330,32.0,11,Mandarin,4.05,80.3,3,28,3,2,B class
2246,Hyundai Sonata,2016,874,36.0,16,French,5.0,1241.47,1,45,2,0,A class
1268,Honda Accord,2008,788,42.0,19,no,4.96,1000.02,2,37,0,0,A class
1059,Ford Fusion,2018,440,46.0,9,French,4.37,737.5,2,34,2,0,B class
2222,Kia Optima,2009,153,55.0,9,Spanish,3.88,304.16,3,11,1,2,B class
1399,Ford Fusion,2014,518,45.0,3,Mandarin,4.51,704.83,3,26,0,0,A class
1354,Nissan Altima,2011,574,57.0,9,Spanish,4.36,774.06,3,40,2,1,A class
2613,Kia Optima,2017,69,59.0,10,no,4.66,750.31,4,33,2,1,A class
855,Chevrolet Malibu,2014,130,54.0,17,Portuguese,5.0,1005.03,2,35,0,1,A class
21,Nissan Altima,2016,59,22.0,2,no,3.8,43.03,5,24,2,1,B class
750,Toyota Camry,2013,241,40.0,20,no,4.47,599.21,5,21,1,2,B class
1494,Honda Accord,2013,350,,7,Portuguese,4.79,1049.19,2,46,1,0,A class
118,Chevrolet Malibu,2007,11,21.0,1,Spanish,3.96,404.13,8,27,2,0,B class
2040,Toyota Camry,2013,485,41.0,0,no,4.14,531.15,6,19,2,0,B class
2255,Kia Optima,2021,618,53.0,2,Mandarin,4.25,792.48,2,44,0,0,A class
564,Kia Optima,2013,281,46.0,9,no,4.43,589.04,1,47,2,0,B class
1645,Nissan Altima,2022,373,52.0,21,Russian,4.04,517.76,2,18,1,2,B class
1128,Chevrolet Malibu,2009,397,,19,no,4.59,685.18,0,21,1,0,A class
491,Honda Accord,2014,310,53.0,4,Spanish,4.12,686.02,8,17,2,1,B class
47,Ford Fusion,2022,668,48.0,21,no,4.54,750.57,1,41,0,1,A class
493,Toyota Camry,2008,598,40.0,5,Mandarin,4.03,640.88,5,24,0,1,B class
1644,Ford Fusion,2014,893,66.0,2,French,4.27,449.38,2,24,2,1,B class
2281,Nissan Altima,2010,479,49.0,18,no,3.92,258.18,4,18,3,1,B class
2333,Honda Accord,2013,667,53.0,10,Portuguese,4.96,1024.5,1,37,0,0,A class
948,Honda Accord,2008,404,30.0,10,Russian,4.57,748.63,0,35,3,0,A class
1906,Toyota Camry,2005,472,65.0,15,no,4.62,347.71,5,20,1,1,B class
769,Toyota Camry,2005,863,21.0,1,no,4.21,755.41,3,32,3,0,B class
2951,Toyota Camry,2017,465,53.0,15,Spanish,4.86,972.36,1,46,0,1,A class
2587,Kia Optima,2005,577,40.0,15,no,4.36,861.04,3,41,2,0,A class
2248,Ford Fusion,2011,340,65.0,8,no,3.74,403.83,3,25,3,1,B class
2158,Hyundai Sonata,2019,186,,14,Spanish,4.77,988.0,0,21,2,0,A class
960,Ford Fusion,2013,447,64.0,1,Spanish,3.76,341.23,6,13,1,0,B class
1976,Nissan Altima,2013,591,64.0,0,French,3.88,167.72,5,9,1,1,B class
1217,Chevrolet Malibu,2012,830,58.0,13,no,3.22,308.71,0,10,6,2,B class
1748,Nissan Altima,2008,752,61.0,0,Mandarin,3.28,47.09,7,4,0,2,B class
565,Hyundai Sonata,2006,316,61.0,1,Portuguese,4.54,865.09,2,31,0,0,A class
610,Ford Fusion,2017,292,23.0,3,no,4.68,852.34,3,24,0,2,A class
2501,Kia Optima,2007,565,23.0,3,no,4.76,966.43,1,33,1,0,A class
1431,Toyota Camry,2013,760,64.0,2,no,4.77,810.67,3,30,0,0,A class
1233,Chevrolet Malibu,2017,742,56.0,23,Spanish,4.51,655.14,4,34,1,0,A class
1562,Nissan Altima,2021,37,21.0,1,no,4.34,530.06,1,31,3,0,B class
577,Ford Fusion,2008,642,60.0,19,Russian,4.06,683.58,5,13,2,0,B class
627,Kia Optima,2020,374,62.0,1,no,4.43,715.25,4,28,0,0,A class
1584,Ford Fusion,2006,115,43.0,0,no,4.44,651.79,4,32,0,1,B class
1377,Kia Optima,2018,843,24.0,0,Spanish,4.18,660.42,4,29,2,0,B class
1588,Honda Accord,2005,877,40.0,17,Portuguese,4.59,752.51,3,39,0,1,A class
2319,Nissan Altima,2007,307,52.0,17,Russian,3.83,331.38,5,18,1,3,B class
1534,Hyundai Sonata,2019,553,35.0,12,no,4.35,720.14,3,37,2,0,B class
1880,Chevrolet Malibu,2018,158,40.0,20,no,5.0,1249.91,0,56,0,0,A class
2949,Toyota Camry,2021,509,33.0,13,no,4.62,862.37,1,26,0,0,A class
756,Honda Accord,2014,731,33.0,13,no,4.21,767.22,5,30,1,0,B class
2451,Honda Accord,2015,139,65.0,16,no,4.77,681.22,0,35,3,0,A class
1532,Chevrolet Malibu,2020,401,32.0,7,Arabic,4.57,838.23,2,44,4,1,A class
2747,Nissan Altima,2007,59,62.0,4,Arabic,4.45,659.15,2,20,2,1,B class
640,Ford Fusion,2020,90,62.0,17,no,4.53,630.42,2,21,2,0,A class
2445,Toyota Camry,2015,748,65.0,17,Arabic,4.25,358.88,2,25,4,1,B class
44,Kia Optima,2018,94,28.0,8,Spanish,4.21,608.48,1,19,2,0,B class
8,Nissan Altima,2018,611,47.0,15,Mandarin,3.97,480.64,4,21,4,1,B class
2617,Toyota Camry,2020,383,36.0,10,no,4.77,976.24,2,32,0,0,A class
739,Toyota Camry,2009,498,22.0,2,no,4.13,766.98,4,38,3,1,B class
33,Hyundai Sonata,2015,428,35.0,3,no,4.68,462.34,1,35,1,1,A class
471,Toyota Camry,2018,732,49.0,5,no,4.37,653.54,7,15,3,1,B class
472,Honda Accord,2019,790,56.0,7,no,4.79,1107.49,2,59,0,0,A class
422,Hyundai Sonata,2017,292,26.0,6,no,4.26,913.11,1,31,0,1,A class
1691,Kia Optima,2009,539,53.0,9,no,4.07,714.43,0,22,2,0,B class
2235,Nissan Altima,2016,460,62.0,2,no,3.66,373.86,1,21,3,1,B class
2711,Honda Accord,2009,280,47.0,4,no,3.69,302.86,8,12,3,0,B class
1478,Toyota Camry,2009,867,44.0,8,no,3.84,375.81,4,27,2,1,B class
2197,Honda Accord,2015,641,64.0,1,French,4.73,662.62,0,31,4,0,A class
2698,Nissan Altima,2012,35,36.0,12,French,4.34,696.79,0,26,2,0,B class
2662,Hyundai Sonata,2007,630,32.0,12,no,4.8,769.72,4,40,1,0,A class
2631,Honda Accord,2011,623,67.0,11,no,4.38,820.22,1,44,0,1,B class
1715,Kia Optima,2006,698,30.0,10,Russian,4.3,635.99,2,29,1,0,B class
2844,Ford Fusion,2006,549,33.0,12,Spanish,3.91,356.86,4,20,3,1,B class
465,Kia Optima,2007,856,23.0,3,Spanish,4.46,795.55,2,32,1,0,B class
1334,Chevrolet Malibu,2010,447,28.0,3,no,4.75,961.6,3,26,2,1,A class
2411,Ford Fusion,2010,237,24.0,4,no,4.24,877.18,5,36,1,0,B class
1956,Toyota Camry,2020,243,51.0,16,Mandarin,4.27,682.48,2,24,1,0,B class
668,Kia Optima,2007,260,22.0,2,Spanish,4.34,579.72,5,24,1,1,B class
10,Kia Optima,2010,48,43.0,20,no,4.64,725.67,2,32,0,0,A class
2238,Chevrolet Malibu,2020,28,43.0,14,Mandarin,4.7,927.07,2,31,0,0,A class
1722,Chevrolet Malibu,2022,324,35.0,1,Spanish,4.22,458.7,5,23,1,0,B class
1731,Kia Optima,2009,10,35.0,11,Mandarin,4.69,680.87,3,21,0,2,B class
2645,Nissan Altima,2007,801,31.0,11,Spanish,4.54,783.09,4,19,0,1,A class
1284,Ford Fusion,2009,555,66.0,18,Spanish,4.84,988.48,3,22,0,0,A class
1889,Kia Optima,2019,397,38.0,5,Arabic,4.23,500.34,5,20,2,0,B class
1455,Chevrolet Malibu,2021,624,55.0,6,no,4.84,964.21,2,34,2,0,A class
1524,Honda Accord,2018,535,51.0,1,French,4.62,696.59,3,33,0,0,A class
1697,Honda Accord,2012,307,53.0,2,no,3.47,333.93,5,9,1,1,B class
1294,Kia Optima,2009,419,62.0,13,no,5.0,879.57,2,49,1,0,A class
1423,Ford Fusion,2021,139,42.0,14,no,4.7,452.13,2,41,1,0,A class
1443,Toyota Camry,2005,3,21.0,1,no,3.75,224.38,3,15,2,1,B class
2692,Toyota Camry,2017,137,48.0,13,no,4.88,837.52,4,27,0,1,A class
2469,Ford Fusion,2005,253,35.0,10,no,4.66,552.73,3,27,3,0,B class
1114,Toyota Camry,2019,466,34.0,14,Portuguese,4.15,470.45,5,28,3,1,B class
1652,Toyota Camry,2012,324,49.0,11,no,4.31,609.82,3,36,3,0,B class
433,Toyota Camry,2006,726,57.0,15,no,4.37,376.41,2,11,0,0,B class
787,Nissan Altima,2014,614,39.0,7,Spanish,4.22,723.58,7,17,1,1,B class
1152,Nissan Altima,2006,364,62.0,14,no,4.85,724.54,3,25,0,0,A class
125,Honda Accord,2019,382,25.0,5,Mandarin,4.56,896.0,0,37,1,0,A class
66,Hyundai Sonata,2016,401,60.0,14,Portuguese,4.28,692.27,3,30,1,0,B class
2254,Kia Optima,2012,116,48.0,14,no,4.71,841.17,2,44,0,0,A class
1194,Chevrolet Malibu,2008,239,25.0,3,no,4.12,526.76,4,21,2,0,B class
1821,Honda Accord,2012,34,65.0,20,no,4.32,825.02,3,31,2,0,A class
1822,Nissan Altima,2007,613,62.0,14,no,4.22,556.64,4,27,2,2,B class
2346,Ford Fusion,2010,676,32.0,12,no,4.65,726.5,2,38,2,0,A class
2544,Toyota Camry,2007,889,37.0,5,Arabic,3.86,493.85,3,28,2,1,B class
781,Kia Optima,2013,811,39.0,5,Arabic,4.1,443.39,7,23,1,3,B class
2031,Nissan Altima,2011,825,66.0,11,Arabic,3.81,130.22,4,8,4,1,B class
130,Hyundai Sonata,2007,141,53.0,1,Russian,4.27,668.45,3,24,1,1,B class
1180,Nissan Altima,2012,491,,16,no,4.44,559.34,6,13,4,0,B class
2068,Honda Accord,2012,77,57.0,19,Spanish,3.97,258.82,5,25,5,3,B class
1445,Nissan Altima,2007,470,56.0,1,French,3.95,593.89,4,17,2,1,B class
1359,Hyundai Sonata,2021,739,40.0,0,no,4.81,1030.26,0,26,2,0,A class
2937,Chevrolet Malibu,2009,321,45.0,12,French,4.42,737.72,3,34,2,0,A class
2677,Hyundai Sonata,2014,695,,5,no,3.9,417.24,4,13,3,0,B class
1865,Ford Fusion,2019,887,44.0,3,Spanish,4.25,545.37,2,22,0,0,B class
2906,Kia Optima,2022,558,23.0,3,Spanish,4.36,551.34,3,30,0,1,B class
1924,Toyota Camry,2019,297,23.0,3,no,3.72,112.8,4,8,2,0,B class
1574,Nissan Altima,2019,543,59.0,9,no,4.23,430.06,5,29,2,0,B class
1079,Toyota Camry,2016,630,45.0,16,French,4.72,831.66,1,44,2,1,A class
2330,Kia Optima,2019,360,54.0,0,no,4.21,404.86,1,26,1,0,B class
238,Chevrolet Malibu,2009,793,38.0,11,Spanish,4.38,574.47,5,17,1,3,B class
962,Chevrolet Malibu,2019,69,40.0,16,no,4.33,663.04,4,25,1,1,B class
